og_distance,og_popularity,d_shock_0.9,d_shock_0.91,d_shock_0.92,d_shock_0.93,d_shock_0.94,d_shock_0.95,d_shock_0.96,d_shock_0.97,d_shock_0.98,d_shock_0.99
6.66224,-24.2923,-1.94904e-11,-1.95217e-11,-1.95461e-11,-1.95657e-11,-1.9581e-11,-1.95932e-11,-1.9603e-11,-1.96105e-11,-1.96165e-11,-1.96212e-11
6.04025,-13.4301,6.12546e-09,5.08768e-09,4.17266e-09,3.366e-09,2.65514e-09,2.02079e-09,1.2815e-09,8.04741e-10,4.7781e-10,1.89583e-10
6.93443,-31.6207,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.45804,-19.8199,-2.53277e-11,-1.43037e-11,-1.54321e-11,-1.63638e-11,-1.71334e-11,-1.77689e-11,-1.82938e-11,-1.87272e-11,-1.90852e-11,-1.93809e-11
6.55067,-21.8148,-1.84106e-11,-1.86726e-11,-1.88851e-11,-1.90574e-11,-1.91969e-11,-1.93099e-11,-1.94018e-11,-1.94762e-11,-1.95366e-11,-1.95854e-11
6.66224,-24.3122,-1.94917e-11,-1.95226e-11,-1.9547e-11,-1.95661e-11,-1.95814e-11,-1.95937e-11,-1.9603e-11,-1.96105e-11,-1.96165e-11,-1.96212e-11
6.28536,-16.9428,1.6179e-10,1.07807e-10,7.68323e-11,5.04641e-11,2.80167e-11,1.02787e-11,-2.35834e-12,-1.31162e-11,-1.11258e-11,-1.57168e-11
6.72827,-25.9143,-1.9593e-11,-1.96008e-11,-1.96068e-11,-1.96114e-11,-1.9615e-11,-1.96179e-11,-1.96201e-11,-1.96219e-11,-1.96232e-11,-1.96243e-11
6.84497,-28.8464,-1.9623e-11,-1.96234e-11,-1.96239e-11,-1.96243e-11,-1.96243e-11,-1.96245e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11
6.5085,-20.9479,-1.70088e-11,-1.75593e-11,-1.80096e-11,-1.83775e-11,-1.86786e-11,-1.89246e-11,-1.9126e-11,-1.92903e-11,-1.94249e-11,-1.9535e-11
5.59221,-8.81181,3.12743e-07,2.68976e-07,2.28593e-07,1.91333e-07,1.56954e-07,1.25233e-07,9.59662e-08,6.8962e-08,4.4046e-08,2.10577e-08
6.83674,-28.7815,-1.96225e-11,-1.96232e-11,-1.96236e-11,-1.96241e-11,-1.96243e-11,-1.96245e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11
6.07949,-13.7899,4.21915e-09,3.48365e-09,2.83262e-09,2.26619e-09,1.52377e-09,1.16293e-09,7.77428e-10,5.23949e-10,3.01601e-10,1.06562e-10
