og_distance,og_popularity,xi_level_0,xi_level_0.25,xi_level_0.5,xi_level_0.75,xi_level_1
6.29157,-17.0439,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.58271,-22.5161,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.3668,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.79068,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.47543,-20.3135,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.95113,-12.3561,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.66224,-24.2293,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.37682,-7.31271,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
5.8998,-11.7926,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.9545,-32.2454,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.41654,-19.1656,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2977,-17.1434,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.58271,-22.5182,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.82201,-28.3573,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.69082,-24.9722,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.76205,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.13407,-5.91947,-1.84798,-2.80128,-3.20216,-3.43418,-3.58236
5.70378,-9.84379,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.95113,-12.3687,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.81771,-28.1789,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.2087,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.99768,-12.9187,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.69359,-25.0588,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.93878,-12.2279,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.82721,-11.0258,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.00587,-33.7623,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.69359,-25.04,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.53953,-8.3988,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
5.8861,-11.6097,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.8998,-11.7888,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2977,-17.1436,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.77799,-10.5365,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.68524,-24.8547,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.49636,-20.7254,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.37682,-7.33363,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
5.48064,-8.0099,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
6.2977,-17.1387,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.23268,-16.1036,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.68524,-24.8382,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.06997,-13.8103,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.82721,-11.0254,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.57925,-22.4412,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2977,-17.1432,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.5085,-20.9685,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.42606,-19.36,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.67099,-24.5172,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.64428,-23.8813,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.3663,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
